cohort_month,retention_3m,retention_6m,retention_12m
2023-02-01,100.0,99.04761904761905,98.09523809523809
2023-03-01,98.9795918367347,93.87755102040816,89.79591836734694
2023-04-01,96.80851063829788,94.68085106382979,90.42553191489363
2023-05-01,99.21875,95.3125,87.5
2023-06-01,97.16981132075472,95.28301886792453,89.62264150943396
2023-07-01,96.49122807017544,93.85964912280701,83.33333333333334
2023-08-01,96.52173913043478,93.04347826086956,86.08695652173914
2023-09-01,98.09523809523809,94.28571428571428,90.47619047619048
2023-10-01,98.50746268656717,94.77611940298507,89.55223880597015
2023-11-01,96.58119658119658,94.87179487179486,87.17948717948718
2023-12-01,98.29059829059828,97.43589743589743,89.74358974358975
2024-01-01,98.1981981981982,94.5945945945946,83.78378378378379
2024-02-01,97.22222222222221,89.81481481481481,81.48148148148148
2024-03-01,98.07692307692307,94.23076923076923,86.53846153846155
2024-04-01,94.64285714285714,88.39285714285714,80.35714285714286
2024-05-01,97.41379310344827,91.37931034482759,84.48275862068965
2024-06-01,97.22222222222221,93.51851851851852,84.25925925925925
2024-07-01,92.74193548387096,91.12903225806451,83.87096774193549
2024-08-01,96.66666666666667,91.66666666666666,81.66666666666667
2024-09-01,92.7927927927928,88.28828828828829,78.37837837837837
2024-10-01,95.65217391304348,88.69565217391305,75.65217391304347
2024-11-01,96.3302752293578,93.57798165137615,76.14678899082568
2024-12-01,93.51851851851852,88.88888888888889,78.70370370370371
2025-01-01,98.09523809523809,87.61904761904762,67.61904761904762
2025-02-01,91.81818181818183,82.72727272727273,67.27272727272727
2025-03-01,93.16239316239316,84.61538461538461,73.50427350427351
2025-04-01,93.93939393939394,84.84848484848484,
2025-05-01,94.64285714285714,87.5,
2025-06-01,82.2429906542056,73.83177570093457,
2025-07-01,89.34426229508196,77.8688524590164,
2025-08-01,90.9090909090909,76.03305785123968,
2025-09-01,84.54545454545455,71.81818181818181,
2025-10-01,85.49618320610686,,
2025-11-01,79.64601769911505,,
2025-12-01,77.14285714285715,,
2026-01-01,,,
2026-02-01,,,
2026-03-01,,,
